monkey,rt,coh,correct,trgchoice
1,0.77,0.064,1.0,2.0
1,0.577,0.512,1.0,1.0
1,0.812,0.032,1.0,2.0
1,1.008,0.128,1.0,1.0
1,0.76,0.256,1.0,2.0
1,1.445,0.128,1.0,2.0
1,1.526,0.0,1.0,2.0
1,0.551,0.512,1.0,2.0
1,0.704,0.064,1.0,1.0
1,1.036,0.032,1.0,1.0
1,0.806,0.256,1.0,1.0
1,1.111,0.0,1.0,2.0
1,0.852,0.064,0.0,2.0
1,0.999,0.032,1.0,2.0
1,0.687,0.128,1.0,2.0
1,0.825,0.032,1.0,1.0
1,0.543,0.256,1.0,1.0
1,0.77,0.128,1.0,1.0
1,0.434,0.512,1.0,2.0
1,0.674,0.064,1.0,2.0
1,0.604,0.0,1.0,1.0
1,0.446,0.256,1.0,2.0
1,0.474,0.512,1.0,1.0
1,0.49,0.128,1.0,2.0
1,0.437,0.064,1.0,2.0
1,0.528,0.256,1.0,1.0
1,0.415,0.512,1.0,2.0
1,0.593,0.0,1.0,2.0
1,0.878,0.0,0.0,2.0
1,0.377,0.512,1.0,1.0
1,0.52,0.032,1.0,2.0
1,0.696,0.064,0.0,2.0
1,0.583,0.032,1.0,1.0
1,0.535,0.256,1.0,2.0
1,0.625,0.128,1.0,1.0
1,0.905,0.128,1.0,1.0
1,0.888,0.032,1.0,1.0
1,0.501,0.064,1.0,2.0
1,0.546,0.032,1.0,2.0
1,0.726,0.064,1.0,1.0
1,1.019,0.0,1.0,1.0
1,0.552,0.256,1.0,2.0
1,0.502,0.512,1.0,1.0
1,0.421,0.128,1.0,2.0
1,0.42,0.512,1.0,2.0
1,0.476,0.256,1.0,1.0
1,0.505,0.0,1.0,2.0
1,0.909,0.0,1.0,2.0
1,0.569,0.256,1.0,2.0
1,0.468,0.032,0.0,2.0
1,0.633,0.128,1.0,1.0
1,0.814,0.0,0.0,2.0
1,0.464,0.512,1.0,1.0
1,0.548,0.032,1.0,2.0
1,0.405,0.128,1.0,2.0
1,0.529,0.064,1.0,2.0
1,0.693,0.256,1.0,1.0
1,0.555,0.064,0.0,2.0
1,0.385,0.512,1.0,2.0
1,0.579,0.256,1.0,1.0
1,0.754,0.0,0.0,2.0
1,0.439,0.128,1.0,2.0
1,0.769,0.032,0.0,1.0
1,0.486,0.512,1.0,1.0
1,0.501,0.512,1.0,2.0
1,0.849,0.064,1.0,2.0
1,0.759,0.0,1.0,2.0
1,0.459,0.256,1.0,2.0
1,0.423,0.064,0.0,2.0
1,0.938,0.032,1.0,1.0
1,0.581,0.128,1.0,1.0
1,0.846,0.064,0.0,1.0
1,0.495,0.0,0.0,2.0
1,0.527,0.256,1.0,1.0
1,0.487,0.128,1.0,2.0
1,0.611,0.0,1.0,2.0
1,0.436,0.256,1.0,2.0
1,0.639,0.064,0.0,2.0
1,0.502,0.512,1.0,1.0
1,0.835,0.032,0.0,1.0
1,0.381,0.128,1.0,1.0
1,0.798,0.032,1.0,1.0
1,0.433,0.512,1.0,2.0
1,0.377,0.512,1.0,1.0
1,0.857,0.128,1.0,1.0
1,0.584,0.128,1.0,2.0
1,0.636,0.0,0.0,2.0
1,0.42,0.512,1.0,2.0
1,0.734,0.0,1.0,2.0
1,0.475,0.064,1.0,2.0
1,0.571,0.256,1.0,1.0
1,0.688,0.032,0.0,1.0
1,1.121,0.032,1.0,1.0
1,0.541,0.064,1.0,1.0
1,0.81,0.128,1.0,1.0
1,0.859,0.0,0.0,1.0
1,0.658,0.064,1.0,1.0
1,0.438,0.256,1.0,2.0
1,0.876,0.064,0.0,1.0
1,0.403,0.512,1.0,2.0
1,0.41,0.512,1.0,1.0
1,0.746,0.032,0.0,2.0
1,0.598,0.256,1.0,1.0
1,0.622,0.0,0.0,2.0
1,0.721,0.128,1.0,2.0
1,1.256,0.032,1.0,2.0
1,0.456,0.512,1.0,1.0
1,1.112,0.0,1.0,2.0
1,0.703,0.128,1.0,1.0
1,1.264,0.032,1.0,2.0
1,0.664,0.064,1.0,2.0
1,1.084,0.032,0.0,2.0
1,0.705,0.064,1.0,1.0
1,0.627,0.128,1.0,2.0
1,1.163,0.0,1.0,1.0
1,0.576,0.256,1.0,2.0
1,0.63,0.256,1.0,1.0
1,0.429,0.512,1.0,2.0
1,0.521,0.128,1.0,2.0
1,0.755,0.032,1.0,1.0
1,0.819,0.064,0.0,1.0
1,0.957,0.032,0.0,1.0
1,0.754,0.0,0.0,1.0
1,0.441,0.512,1.0,2.0
1,0.677,0.0,1.0,1.0
1,0.52,0.256,1.0,2.0
1,0.712,0.064,1.0,1.0
1,0.689,0.256,1.0,1.0
1,0.408,0.512,1.0,1.0
1,0.84,0.128,1.0,1.0
1,0.779,0.032,1.0,2.0
1,0.773,0.032,1.0,1.0
1,1.225,0.0,1.0,2.0
1,0.929,0.064,0.0,2.0
